skill_area,subskill,employer_expectation,proof_from_your_answers,current_level,impact_on_hiring,next_action,drill,owner,due_date,status
Troubleshooting process,Triage & sequencing,Can ask 1-2 clarifying questions and run a structured first 5 steps,"Across tickets you defaulted to restart/verify connectivity/isolate DNS vs network; good instincts",Strong,High,Keep sharp,"Daily 3-ticket reps (write questions/steps/escalation + ticket note)",Jose,2026-02-02,Planned
Windows fundamentals,Account lockout (AD),Knows lockout cause + unlock/reset flow + where to do it,"You identified lockout + AD reset/unlock concept but steps/tools not explicit",Medium,High,Refresh exact flow + terminology,"Write exact steps for AD Users & Computers: find user -> unlock -> reset -> check lockout policy; note escalation triggers",Jose,2026-02-03,Planned
Windows fundamentals,Local vs domain login,Can distinguish local account vs domain/AAD and correct remediation,"You mentioned local admin RDP path vs server/AD path",Medium,Medium,Refresh modern join types,"Study: local vs domain vs Entra ID join; know what creds are used and where",Jose,2026-02-05,Planned
Microsoft 365,Outlook password prompt loop,Knows common causes (WAM/token/cred mgr/modern auth) + fast isolation,"You suggested reset password + check webmail; no modern-auth specifics",Weak,High,Learn top 5 causes + fixes,"Drill: webmail test; remove stored creds; disconnect/re-add account; Office sign-in; new profile",Jose,2026-02-05,Planned
Microsoft 365,Teams sign-in / cache basics,Knows what cache is and safe clear steps,"You said you understand concept but no real experience",Weak,Medium,Learn exact steps,"Drill: Teams cache clear steps (Windows + Mac) + device settings path",Jose,2026-02-06,Planned
Microsoft 365,OneDrive sync failures,Knows quota/path/filename/conflict/KFM/Files On-Demand patterns,"You mentioned quota, file too big, bad name, reinstall",Medium,Medium,Add modern patterns,"Drill: interpret OneDrive icon states + 5 common root causes + exact remediation",Jose,2026-02-06,Planned
Active Directory,Share permissions vs NTFS,Understands why Access Denied happens and what to check first,"Rapid-fire R9: NO IDEA; ticket T3: 'add permissions' without share-vs-NTFS distinction",Weak,High,Learn the checklist,"Drill: share vs NTFS permissions, group membership, inheritance, effective access; typical corporate workflow + escalation rules",Jose,2026-02-07,Planned
Networking,DNS definition + troubleshooting,Can define DNS cleanly + use nslookup/ping logic,"You approximated; used ping 8.8.8.8 then DNS suspicion",Medium,High,Clean definitions + commands,"Drill: DNS vs connectivity: ping IP vs name; nslookup; flushdns; set test DNS",Jose,2026-02-03,Planned
Networking,DHCP + APIPA 169.254,Can explain DHCP + identify APIPA meaning,"You described DHCP purpose; identified 169.254 as no DHCP lease",Medium,Medium,Lock terminology,"Drill: DHCP DORA; what APIPA means; renew lease commands",Jose,2026-02-03,Planned
Networking,Default gateway,Can explain function and diagnose gateway issues,"You said 'way out to the internet'",Medium,Medium,Add precision,"Drill: gateway vs DNS; route table basics; typical checks",Jose,2026-02-04,Planned
Networking,TCP vs UDP,Can explain practical difference and examples,"Explicitly answered: I don’t know",Weak,High,Fix immediately,"Drill: TCP vs UDP examples: HTTPS/SMB/RDP vs DNS/VoIP/streaming; reliability vs latency; memorise 30-sec explanation",Jose,2026-02-03,Planned
Networking,VPN connected but no access,Can troubleshoot routes/DNS/split tunnel/internal name resolution,"Ticket T6: partial steps (ping/ipconfig) but no routes/DNS/split tunnel; rapid-fire R12: doesn't remember",Weak,High,Learn L1 VPN flow,"Drill: differentiate 'connected' vs 'usable': test internal by IP vs FQDN; check routes; DNS servers; split tunnel; escalation criteria",Jose,2026-02-05,Planned
macOS support,Wi‑Fi connected but no internet,Can isolate Wi‑Fi vs DNS vs browser vs captive portal,"You proposed ping 8.8.8.8; compare with phone; try browser; restart",Medium,Medium,Add exact mac commands,"Drill: networksetup, renewing DHCP lease, flush DNS on mac, safe mode basics",Jose,2026-02-06,Planned
Printers,Offline printer triage,Can check power/network/queue/driver/default printer,"You suggested restart, check cable lights, reinstall driver, set online",Medium,Medium,Add OS steps,"Drill: Windows printer queue, restart spooler, re-add printer",Jose,2026-02-06,Planned
Security,Phishing credential compromise response,Knows immediate steps: reset creds, revoke sessions, MFA, notify sec,"You said reset password + policy; some extra commentary",Medium,High,Make it enterprise-correct,"Drill: immediate actions checklist + escalation to security + user guidance template",Jose,2026-02-04,Planned
ITSM,Ticket notes & escalation,Can write concise notes + escalation triggers,"Tickets: good questions, but actions often <5 and escalation triggers vague (esp. T6); ticket notes need more structured evidence",Weak,High,Fix with reps,"Drill: per ticket: 2 key questions only; exactly 5 actions; escalation triggers; ticket note with what verified + result",Jose,2026-02-02,Planned
