skill,category,current_level,evidence_files,evidence_type,confidence,hiring_impact,interview_risk,gap_drill,notes
Troubleshooting Methodology,high_value,Strong,"test-results-2026-01-30-windows-ad-v1.md, skills-gap-analysis.csv",hands_on_test,confirmed,High,Low,"Daily 3-ticket reps (write questions/steps/escalation + ticket note)","Across 6 tickets defaulted to restart/verify/isolate; good instincts"
Windows 10/11 Support,high_value,Medium-Strong,"Joseph_Ginsberg_CV_Updated_21-11-2025.docx, test-results-2026-01-30-windows-ad-v1.md",cv_evidence + hands_on_test,probable,High,Low,—,"10+ years experience; test shows solid lockout/password flows"
Active Directory Basics,high_value,Medium,"test-results-2026-01-30-windows-ad-v1.md, skills-gap-analysis.csv",hands_on_test,probable,High,Medium,"Write exact steps for AD Users & Computers: find user -> unlock -> reset -> check lockout policy","Identified lockout + AD reset concept but steps/tools not fully explicit"
Microsoft 365 Admin,high_value,Medium,"Joseph_Ginsberg_CV_Updated_21-11-2025.docx, skills-gap-analysis.csv",cv_evidence,probable,High,Medium,"Drill: webmail test; remove stored creds; disconnect/re-add account; Office sign-in; new profile","Self-reports M365 admin experience; no modern-auth specifics in test"
VPN Troubleshooting,high_value,Weak,"test-results-2026-01-30-windows-ad-v1.md, skills-gap-analysis.csv",hands_on_test,gap,High,High,"Drill: differentiate 'connected' vs 'usable': test internal by IP vs FQDN; check routes; DNS; split tunnel","Ticket T6 + Rapid R12: partial steps only; no routes/DNS/split tunnel knowledge"
Password Resets / MFA,high_value,Medium,"test-results-2026-01-30-windows-ad-v1.md",hands_on_test,probable,High,Medium,"Drill: MFA definition + common failure causes + reset flow",Test shows password reset concept understood; MFA specifics not tested
Remote Desktop Support,medium_value,Medium,"Joseph_Ginsberg_CV_Updated_21-11-2025.docx",cv_evidence,probable,Medium,Low,—,"CV lists AnyDesk, TeamViewer, RDP experience"
Basic Networking (Wi-Fi/DNS/IP),medium_value,Medium,"test-results-2026-01-30-windows-ad-v1.md, skills-gap-analysis.csv",hands_on_test,probable,Medium,Medium,"Drill: DNS vs connectivity: ping IP vs name; nslookup; flushdns; set test DNS","R1-R4 show decent basics; needs precision on commands"
TCP vs UDP,medium_value,Weak,"test-results-2026-01-30-windows-ad-v1.md",hands_on_test,gap,High,High,"Drill: memorise TCP vs UDP examples (HTTPS/SMB/RDP vs DNS/VoIP/streaming); 30-sec explanation","Explicitly answered: I don't know"
Share vs NTFS Permissions,medium_value,Weak,"test-results-2026-01-30-windows-ad-v1.md, skills-gap-analysis.csv",hands_on_test,gap,High,High,"Drill: share vs NTFS permissions, group membership, inheritance, effective access","Rapid R9: NO IDEA; ticket T3 lacks share-vs-NTFS distinction"
Printer Triage,medium_value,Medium,"test-results-2026-01-30-windows-ad-v1.md",hands_on_test,probable,Medium,Low,"Drill: Windows printer queue, restart spooler, re-add printer","Test T5: good basic steps (check power/cable/lights/ping/driver)"
Outlook/M365 Auth Loop,high_value,Weak,"skills-gap-analysis.csv",skills_gap_csv,gap,High,High,"Drill: top 5 causes + fixes (WAM/token/cred mgr/modern auth)","No modern-auth specifics in any test; only suggested reset password + check webmail"
ITSM Ticket Notes & Escalation,high_value,Weak,"test-results-2026-01-30-windows-ad-v1.md, skills-gap-analysis.csv",hands_on_test,gap,High,High,"Drill: per ticket: 2 key questions only; exactly 5 actions; escalation triggers; ticket note with what verified + result","Tickets: good questions but actions often <5 and escalation triggers vague"
macOS Wi-Fi Isolation,medium_value,Medium,"skills-gap-analysis.csv",skills_gap_csv,probable,Medium,Low,"Drill: networksetup, renewing DHCP lease, flush DNS on mac","Proposed ping 8.8.8.8; compare with phone; try browser; restart"
Phishing/Security Response,medium_value,Medium,"skills-gap-analysis.csv",skills_gap_csv,probable,High,Medium,"Drill: immediate actions checklist + escalation to security + user guidance template","Said reset password + policy; needs enterprise-correct response format"
English Communication,language,Strong,"Project interactions",project_evidence,confirmed,Critical,Low,—,"Communicates fluently in English throughout project"
Portuguese Communication,language,Unknown,"CLIENT_BRIEF.md",none,unknown,High,Unknown,"Needs LANGUAGE_READINESS_CHECK assessment","Not verified; assumed native due to location/citizenship"
Hebrew Communication,language,Unknown,"LinkedIn_Profile_Database_RawSnapshot_03-02-2026.docx",linkedin_snapshot,probable,Low,Low,—,"Lived/worked in Israel 2010-2020; listed on LinkedIn profile"
Customer Empathy & Patience,behavioral,Unknown-Probable,"LinkedIn_Profile_Database_RawSnapshot_03-02-2026.docx (letter)",appreciation_letter,probable,High,Medium,"Behavioral assessment needed","Appreciation letter describes: calm, responsive, clear explanations"
Teams Sign-in / Cache,medium_value,Weak,"skills-gap-analysis.csv",skills_gap_csv,gap,Medium,Medium,"Drill: Teams cache clear steps (Windows + Mac) + device settings path","Self-reported: understands concept but no real experience"
OneDrive Sync Failures,medium_value,Medium,"skills-gap-analysis.csv",skills_gap_csv,probable,Medium,Low,"Drill: interpret OneDrive icon states + 5 common root causes + exact remediation","Mentioned quota, file too big, bad name, reinstall"
